actual_data,error,left_motor_powers,right_motor_powers
1526,-11,100,50
1518,-3,100,50
1548,-33,100,50
1547,-32,100,50
1407,108,50,100
730,785,50,100
1242,273,50,100
1609,-94,100,50
1620,-105,100,50
1502,13,50,100
567,948,50,100
819,696,50,100
1344,171,50,100
1399,116,50,100
1405,110,50,100
1369,146,50,100
1387,128,50,100
1417,98,50,100
684,831,50,100
263,1252,50,100
216,1299,50,100
215,1300,50,100
193,1322,50,100
116,1399,50,100
190,1325,50,100
183,1332,50,100
264,1251,50,100
381,1134,50,100
534,981,50,100
645,870,50,100
884,631,50,100
1001,514,50,100
946,569,50,100
1435,80,50,100
1898,-383,100,50
1922,-407,100,50
1916,-401,100,50
1896,-381,100,50
1826,-311,100,50
1744,-229,100,50
874,641,50,100
233,1282,50,100
313,1202,50,100
831,684,50,100
1605,-90,100,50
1682,-167,100,50
1184,331,50,100
363,1152,50,100
528,987,50,100
1159,356,50,100
1629,-114,100,50
1649,-134,100,50
1635,-120,100,50
1013,502,50,100
273,1242,50,100
544,971,50,100
1448,67,50,100
1620,-105,100,50
1673,-158,100,50
1583,-68,100,50
849,666,50,100
210,1305,50,100
305,1210,50,100
619,896,50,100
1246,269,50,100
1452,63,50,100
1566,-51,100,50
1579,-64,100,50
1502,13,50,100
1034,481,50,100
1298,217,50,100
1502,13,50,100
1632,-117,100,50
1608,-93,100,50
1592,-77,100,50
1492,23,50,100
1230,285,50,100
1294,221,50,100
1487,28,50,100
1562,-47,100,50
1585,-70,100,50
1471,44,50,100
1129,386,50,100
1423,92,50,100
1581,-66,100,50
1582,-67,100,50
1484,31,50,100
897,618,50,100
1359,156,50,100
1515,0,100,50
1579,-64,100,50
1476,39,50,100
1392,123,50,100
1521,-6,100,50
1342,173,50,100
760,755,50,100
1469,46,50,100
1627,-112,100,50
1637,-122,100,50
1587,-72,100,50
362,1153,50,100
40,1475,50,100
108,1407,50,100
283,1232,50,100
738,777,50,100
1375,140,50,100
1475,40,50,100
1517,-2,100,50
1524,-9,100,50
1543,-28,100,50
975,540,50,100
32,1483,50,100
36,1479,50,100
381,1134,50,100
1202,313,50,100
1511,4,50,100
1609,-94,100,50
1604,-89,100,50
1646,-131,100,50
1545,-30,100,50
1380,135,50,100
46,1469,50,100
113,1402,50,100
736,779,50,100
1261,254,50,100
1392,123,50,100
1566,-51,100,50
1478,37,50,100
1492,23,50,100
1457,58,50,100
1337,178,50,100
1145,370,50,100
416,1099,50,100
68,1447,50,100
79,1436,50,100
65,1450,50,100
57,1458,50,100
45,1470,50,100
35,1480,50,100
63,1452,50,100
86,1429,50,100
57,1458,50,100
59,1456,50,100
58,1457,50,100
59,1456,50,100
41,1474,50,100
59,1456,50,100
120,1395,50,100
47,1468,50,100
78,1437,50,100
