actual_data,error,Absolute Error,left_motor_powers,right_motor_powers,,Source,Min,Max,Average,Standard Deviation
1608,-21,21,100,0,,Sensor Response,239,2005,1073.48,546.1334832
1623,-36,36,100,0,,Left Motor Data,0,100,30.66666667,46.26545331
1714,-127,127,100,0,,Right Motor Data,0,100,69.33333333,46.26545331
665,922,922,0,100,,Total Error,,92474,,
434,1153,1153,0,100,,,,,,
815,772,772,0,100,,,,,,
1763,-176,176,100,0,,,,,,
1807,-220,220,100,0,,,,,,
1762,-175,175,100,0,,,,,,
632,955,955,0,100,,,,,,
293,1294,1294,0,100,,,,,,
755,832,832,0,100,,,,,,
1733,-146,146,100,0,,,,,,
1749,-162,162,100,0,,,,,,
1787,-200,200,100,0,,,,,,
712,875,875,0,100,,,,,,
335,1252,1252,0,100,,,,,,
883,704,704,0,100,,,,,,
1711,-124,124,100,0,,,,,,
1639,-52,52,100,0,,,,,,
1672,-85,85,100,0,,,,,,
374,1213,1213,0,100,,,,,,
295,1292,1292,0,100,,,,,,
579,1008,1008,0,100,,,,,,
1215,372,372,0,100,,,,,,
1558,29,29,0,100,,,,,,
1339,248,248,0,100,,,,,,
617,970,970,0,100,,,,,,
537,1050,1050,0,100,,,,,,
505,1082,1082,0,100,,,,,,
543,1044,1044,0,100,,,,,,
464,1123,1123,0,100,,,,,,
586,1001,1001,0,100,,,,,,
504,1083,1083,0,100,,,,,,
650,937,937,0,100,,,,,,
630,957,957,0,100,,,,,,
821,766,766,0,100,,,,,,
951,636,636,0,100,,,,,,
1645,-58,58,100,0,,,,,,
1690,-103,103,100,0,,,,,,
1687,-100,100,100,0,,,,,,
1268,319,319,0,100,,,,,,
492,1095,1095,0,100,,,,,,
1286,301,301,0,100,,,,,,
1659,-72,72,100,0,,,,,,
1693,-106,106,100,0,,,,,,
1767,-180,180,100,0,,,,,,
1335,252,252,0,100,,,,,,
513,1074,1074,0,100,,,,,,
1578,9,9,0,100,,,,,,
1728,-141,141,100,0,,,,,,
1714,-127,127,100,0,,,,,,
1740,-153,153,100,0,,,,,,
1230,357,357,0,100,,,,,,
385,1202,1202,0,100,,,,,,
1380,207,207,0,100,,,,,,
1610,-23,23,100,0,,,,,,
1633,-46,46,100,0,,,,,,
1595,-8,8,100,0,,,,,,
523,1064,1064,0,100,,,,,,
304,1283,1283,0,100,,,,,,
598,989,989,0,100,,,,,,
1345,242,242,0,100,,,,,,
1516,71,71,0,100,,,,,,
850,737,737,0,100,,,,,,
560,1027,1027,0,100,,,,,,
800,787,787,0,100,,,,,,
638,949,949,0,100,,,,,,
708,879,879,0,100,,,,,,
616,971,971,0,100,,,,,,
617,970,970,0,100,,,,,,
742,845,845,0,100,,,,,,
734,853,853,0,100,,,,,,
1422,165,165,0,100,,,,,,
1538,49,49,0,100,,,,,,
1604,-17,17,100,0,,,,,,
821,766,766,0,100,,,,,,
1667,-80,80,100,0,,,,,,
1389,198,198,0,100,,,,,,
1586,1,1,0,100,,,,,,
1103,484,484,0,100,,,,,,
794,793,793,0,100,,,,,,
696,891,891,0,100,,,,,,
698,889,889,0,100,,,,,,
630,957,957,0,100,,,,,,
794,793,793,0,100,,,,,,
748,839,839,0,100,,,,,,
744,843,843,0,100,,,,,,
977,610,610,0,100,,,,,,
1653,-66,66,100,0,,,,,,
1873,-286,286,100,0,,,,,,
816,771,771,0,100,,,,,,
439,1148,1148,0,100,,,,,,
892,695,695,0,100,,,,,,
1987,-400,400,100,0,,,,,,
2005,-418,418,100,0,,,,,,
1984,-397,397,100,0,,,,,,
910,677,677,0,100,,,,,,
513,1074,1074,0,100,,,,,,
1495,92,92,0,100,,,,,,
1890,-303,303,100,0,,,,,,
1900,-313,313,100,0,,,,,,
1895,-308,308,100,0,,,,,,
1222,365,365,0,100,,,,,,
765,822,822,0,100,,,,,,
1332,255,255,0,100,,,,,,
1915,-328,328,100,0,,,,,,
1911,-324,324,100,0,,,,,,
1984,-397,397,100,0,,,,,,
504,1083,1083,0,100,,,,,,
260,1327,1327,0,100,,,,,,
531,1056,1056,0,100,,,,,,
806,781,781,0,100,,,,,,
1761,-174,174,100,0,,,,,,
1783,-196,196,100,0,,,,,,
1771,-184,184,100,0,,,,,,
431,1156,1156,0,100,,,,,,
349,1238,1238,0,100,,,,,,
674,913,913,0,100,,,,,,
1711,-124,124,100,0,,,,,,
1760,-173,173,100,0,,,,,,
1784,-197,197,100,0,,,,,,
700,887,887,0,100,,,,,,
406,1181,1181,0,100,,,,,,
1007,580,580,0,100,,,,,,
1735,-148,148,100,0,,,,,,
1707,-120,120,100,0,,,,,,
1716,-129,129,100,0,,,,,,
667,920,920,0,100,,,,,,
239,1348,1348,0,100,,,,,,
627,960,960,0,100,,,,,,
1552,35,35,0,100,,,,,,
1502,85,85,0,100,,,,,,
1039,548,548,0,100,,,,,,
751,836,836,0,100,,,,,,
681,906,906,0,100,,,,,,
574,1013,1013,0,100,,,,,,
580,1007,1007,0,100,,,,,,
664,923,923,0,100,,,,,,
625,962,962,0,100,,,,,,
535,1052,1052,0,100,,,,,,
531,1056,1056,0,100,,,,,,
540,1047,1047,0,100,,,,,,
642,945,945,0,100,,,,,,
585,1002,1002,0,100,,,,,,
484,1103,1103,0,100,,,,,,
320,1267,1267,0,100,,,,,,
430,1157,1157,0,100,,,,,,
486,1101,1101,0,100,,,,,,
541,1046,1046,0,100,,,,,,
