actual_data,error,left_motor_powers,right_motor_powers
1829,-25,49,50
1839,-35,49,50
1831,-27,49,50
1743,61,50,49
1693,111,51,48
1637,167,51,48
1584,220,52,47
1546,258,52,47
1536,268,52,47
1534,270,52,47
1564,240,52,47
1420,384,53,46
1213,591,56,43
1138,666,56,43
942,862,58,41
674,1130,61,38
1343,461,53,46
299,1505,66,33
47,1757,67,32
32,1772,67,32
32,1772,67,32
32,1772,67,32
32,1772,67,32
32,1772,67,32
32,1772,67,32
32,1772,67,32
32,1772,67,32
31,1773,67,32
31,1773,67,32
32,1772,67,32
32,1772,67,32
36,1768,67,32
32,1772,67,32
33,1771,67,32
35,1769,67,32
32,1772,67,32
34,1770,67,32
32,1772,67,32
31,1773,67,32
32,1772,67,32
32,1772,67,32
33,1771,67,32
34,1770,67,32
32,1772,67,32
32,1772,67,32
34,1770,67,32
33,1771,67,32
28,1776,67,32
1181,623,55,44
1166,638,56,43
1124,680,56,43
1096,708,57,42
1003,801,58,41
512,1292,63,36
88,1716,67,32
35,1769,67,32
30,1774,67,32
33,1771,67,32
1048,756,56,43
173,1631,67,32
533,1271,62,37
1022,782,57,42
1073,731,57,42
1051,753,57,42
1034,770,57,42
1118,686,56,43
1130,674,56,43
654,1150,61,38
152,1652,67,32
37,1767,67,32
32,1772,67,32
36,1768,67,32
32,1772,67,32
35,1769,67,32
34,1770,67,32
32,1772,67,32
31,1773,67,32
32,1772,67,32
32,1772,67,32
34,1770,67,32
35,1769,67,32
36,1768,67,32
34,1770,67,32
31,1773,67,32
32,1772,67,32
33,1771,67,32
33,1771,67,32
30,1774,67,32
36,1768,67,32
36,1768,67,32
1451,353,52,47
1249,555,55,44
1772,32,49,50
1895,-91,48,51
1758,46,50,49
1847,-43,49,50
1935,-131,48,51
2033,-229,47,52
2050,-246,47,52
2012,-208,47,52
2049,-245,47,52
2029,-225,47,52
2010,-206,47,52
2002,-198,48,51
1983,-179,48,51
2004,-200,47,52
1897,-93,49,50
1871,-67,49,50
1864,-60,49,50
1892,-88,49,50
1955,-151,48,51
2034,-230,47,52
2095,-291,47,52
2122,-318,46,53
2142,-338,46,53
2120,-316,46,53
2078,-274,47,52
2082,-278,47,52
2032,-228,47,52
1963,-159,48,51
2010,-206,47,52
1961,-157,48,51
1938,-134,48,51
1874,-70,49,50
1825,-21,49,50
1801,3,50,49
1780,24,50,49
1784,20,50,49
1810,-6,49,50
1806,-2,49,50
1891,-87,49,50
2034,-230,47,52
2032,-228,47,52
2099,-295,46,53
2166,-362,46,53
2120,-316,46,53
2161,-357,46,53
2163,-359,46,53
2091,-287,47,52
2098,-294,47,52
2048,-244,47,52
2058,-254,47,52
1978,-174,48,51
1960,-156,48,51
2008,-204,47,52
1915,-111,48,51
1892,-88,49,50
1831,-27,49,50
1869,-65,49,50
1890,-86,49,50
