actual_data,error,Absolute Error,left_motor_powers,right_motor_powers,,Source,Min,Max,Average,Standard Deviation
831,-181,181,46,53,,Sensor Response,304,1167,1167,160.4465838
709,-59,59,48,51,,Left Motor Data,39,57,47.42666667,3.273539772
593,57,57,51,48,,Right Motor Data,42,60,51.57333333,3.273539772
674,-24,24,49,50,,Total Error,,22791,,
638,12,12,50,49,,,,,,
416,234,234,54,45,,,,,,
555,95,95,51,48,,,,,,
652,-2,2,49,50,,,,,,
781,-131,131,47,52,,,,,,
932,-282,282,44,55,,,,,,
983,-333,333,43,56,,,,,,
843,-193,193,46,53,,,,,,
789,-139,139,47,52,,,,,,
863,-213,213,45,54,,,,,,
1010,-360,360,42,57,,,,,,
957,-307,307,43,56,,,,,,
565,85,85,51,48,,,,,,
361,289,289,55,44,,,,,,
739,-89,89,47,52,,,,,,
832,-182,182,46,53,,,,,,
682,-32,32,49,50,,,,,,
600,50,50,51,48,,,,,,
704,-54,54,48,51,,,,,,
688,-38,38,49,50,,,,,,
680,-30,30,49,50,,,,,,
725,-75,75,48,51,,,,,,
750,-100,100,47,52,,,,,,
792,-142,142,47,52,,,,,,
767,-117,117,47,52,,,,,,
836,-186,186,46,53,,,,,,
777,-127,127,47,52,,,,,,
746,-96,96,48,51,,,,,,
742,-92,92,48,51,,,,,,
772,-122,122,47,52,,,,,,
659,-9,9,49,50,,,,,,
703,-53,53,48,51,,,,,,
813,-163,163,46,53,,,,,,
687,-37,37,49,50,,,,,,
480,170,170,53,46,,,,,,
549,101,101,51,48,,,,,,
699,-49,49,48,51,,,,,,
762,-112,112,47,52,,,,,,
770,-120,120,47,52,,,,,,
886,-236,236,45,54,,,,,,
845,-195,195,46,53,,,,,,
866,-216,216,45,54,,,,,,
766,-116,116,47,52,,,,,,
702,-52,52,49,50,,,,,,
709,-59,59,48,51,,,,,,
627,23,23,50,49,,,,,,
660,-10,10,49,50,,,,,,
673,-23,23,49,50,,,,,,
696,-46,46,49,50,,,,,,
814,-164,164,46,53,,,,,,
775,-125,125,47,52,,,,,,
704,-54,54,48,51,,,,,,
862,-212,212,45,54,,,,,,
968,-318,318,43,56,,,,,,
1048,-398,398,41,58,,,,,,
1053,-403,403,41,58,,,,,,
840,-190,190,46,53,,,,,,
640,10,10,50,49,,,,,,
799,-149,149,46,53,,,,,,
911,-261,261,44,55,,,,,,
729,-79,79,48,51,,,,,,
625,25,25,50,49,,,,,,
621,29,29,50,49,,,,,,
606,44,44,50,49,,,,,,
672,-22,22,49,50,,,,,,
745,-95,95,48,51,,,,,,
827,-177,177,46,53,,,,,,
698,-48,48,49,50,,,,,,
333,317,317,56,43,,,,,,
410,240,240,54,45,,,,,,
930,-280,280,44,55,,,,,,
1040,-390,390,42,57,,,,,,
1046,-396,396,42,57,,,,,,
1027,-377,377,42,57,,,,,,
954,-304,304,43,56,,,,,,
677,-27,27,49,50,,,,,,
586,64,64,51,48,,,,,,
831,-181,181,46,53,,,,,,
814,-164,164,46,53,,,,,,
542,108,108,52,47,,,,,,
450,200,200,54,45,,,,,,
691,-41,41,48,51,,,,,,
996,-346,346,42,57,,,,,,
1055,-405,405,41,58,,,,,,
812,-162,162,46,53,,,,,,
464,186,186,53,46,,,,,,
382,268,268,55,44,,,,,,
649,1,1,49,50,,,,,,
867,-217,217,45,54,,,,,,
851,-201,201,45,54,,,,,,
748,-98,98,48,51,,,,,,
848,-198,198,45,54,,,,,,
1004,-354,354,42,57,,,,,,
985,-335,335,43,56,,,,,,
866,-216,216,45,54,,,,,,
644,6,6,50,49,,,,,,
604,46,46,50,49,,,,,,
697,-47,47,48,51,,,,,,
747,-97,97,48,51,,,,,,
683,-33,33,49,50,,,,,,
627,23,23,50,49,,,,,,
596,54,54,51,48,,,,,,
698,-48,48,48,51,,,,,,
930,-280,280,44,55,,,,,,
916,-266,266,44,55,,,,,,
818,-168,168,46,53,,,,,,
790,-140,140,47,52,,,,,,
605,45,45,51,48,,,,,,
787,-137,137,47,52,,,,,,
910,-260,260,44,55,,,,,,
866,-216,216,45,54,,,,,,
749,-99,99,48,51,,,,,,
630,20,20,50,49,,,,,,
464,186,186,53,46,,,,,,
550,100,100,51,48,,,,,,
494,156,156,53,46,,,,,,
651,-1,1,49,50,,,,,,
794,-144,144,47,52,,,,,,
884,-234,234,45,54,,,,,,
1076,-426,426,41,58,,,,,,
1167,-517,517,39,60,,,,,,
821,-171,171,46,53,,,,,,
304,346,346,57,42,,,,,,
543,107,107,51,48,,,,,,
876,-226,226,45,54,,,,,,
999,-349,349,42,57,,,,,,
926,-276,276,44,55,,,,,,
814,-164,164,46,53,,,,,,
861,-211,211,45,54,,,,,,
817,-167,167,46,53,,,,,,
720,-70,70,48,51,,,,,,
769,-119,119,47,52,,,,,,
722,-72,72,48,51,,,,,,
724,-74,74,48,51,,,,,,
752,-102,102,47,52,,,,,,
792,-142,142,47,52,,,,,,
701,-51,51,49,50,,,,,,
594,56,56,51,48,,,,,,
625,25,25,50,49,,,,,,
678,-28,28,49,50,,,,,,
768,-118,118,47,52,,,,,,
952,-302,302,43,56,,,,,,
956,-306,306,43,56,,,,,,
825,-175,175,46,53,,,,,,
698,-48,48,49,50,,,,,,
790,-140,140,47,52,,,,,,
