actual_data,left_motor_powers,right_motor_powers
831,46,53
709,48,51
593,51,48
674,49,50
638,50,49
416,54,45
555,51,48
652,49,50
781,47,52
932,44,55
983,43,56
843,46,53
789,47,52
863,45,54
1010,42,57
957,43,56
565,51,48
361,55,44
739,47,52
832,46,53
682,49,50
600,51,48
704,48,51
688,49,50
680,49,50
725,48,51
750,47,52
792,47,52
767,47,52
836,46,53
777,47,52
746,48,51
742,48,51
772,47,52
659,49,50
703,48,51
813,46,53
687,49,50
480,53,46
549,51,48
699,48,51
762,47,52
770,47,52
886,45,54
845,46,53
866,45,54
766,47,52
702,49,50
709,48,51
627,50,49
660,49,50
673,49,50
696,49,50
814,46,53
775,47,52
704,48,51
862,45,54
968,43,56
1048,41,58
1053,41,58
840,46,53
640,50,49
799,46,53
911,44,55
729,48,51
625,50,49
621,50,49
606,50,49
672,49,50
745,48,51
827,46,53
698,49,50
333,56,43
410,54,45
930,44,55
1040,42,57
1046,42,57
1027,42,57
954,43,56
677,49,50
586,51,48
831,46,53
814,46,53
542,52,47
450,54,45
691,48,51
996,42,57
1055,41,58
812,46,53
464,53,46
382,55,44
649,49,50
867,45,54
851,45,54
748,48,51
848,45,54
1004,42,57
985,43,56
866,45,54
644,50,49
604,50,49
697,48,51
747,48,51
683,49,50
627,50,49
596,51,48
698,48,51
930,44,55
916,44,55
818,46,53
790,47,52
605,51,48
787,47,52
910,44,55
866,45,54
749,48,51
630,50,49
464,53,46
550,51,48
494,53,46
651,49,50
794,47,52
884,45,54
1076,41,58
1167,39,60
821,46,53
304,57,42
543,51,48
876,45,54
999,42,57
926,44,55
814,46,53
861,45,54
817,46,53
720,48,51
769,47,52
722,48,51
724,48,51
752,47,52
792,47,52
701,49,50
594,51,48
625,50,49
678,49,50
768,47,52
952,43,56
956,43,56
825,46,53
698,49,50
790,47,52
