actual_data,left_motor_powers,right_motor_powers
1135,50,49
1119,51,48
1092,53,46
1068,55,44
1041,57,42
1097,53,46
1205,45,54
1254,41,58
1167,47,52
1112,51,48
1160,48,51
1205,44,55
1184,46,53
1137,49,50
1139,49,50
1141,49,50
1167,47,52
1159,48,51
1139,49,50
1136,50,49
1159,48,51
1182,46,53
1139,49,50
1138,49,50
1140,49,50
1230,42,57
1282,38,61
1181,46,53
1132,50,49
1164,47,52
1166,47,52
1140,49,50
1112,51,48
1120,51,48
1126,50,49
1253,41,58
1204,44,55
1163,47,52
1136,49,50
1143,49,50
1122,50,49
1112,51,48
1137,49,50
1182,46,53
1170,47,52
1207,44,55
1240,41,58
1229,42,57
1168,47,52
1187,45,54
1205,44,55
1159,47,52
1088,53,46
1074,54,45
1074,54,45
1095,52,47
1136,49,50
1222,43,56
1229,42,57
1169,47,52
1162,47,52
1189,45,54
1159,47,52
1121,50,49
1159,47,52
1211,43,56
1205,44,55
1128,49,50
1096,52,47
1071,54,45
1161,47,52
1231,42,57
1160,47,52
1130,49,50
1185,45,54
1153,48,51
1096,52,47
1068,54,45
1137,49,50
1216,43,56
1209,43,56
1111,51,48
1112,51,48
1159,47,52
1103,51,48
1090,52,47
1198,44,55
1235,41,58
1185,45,54
1091,52,47
1090,52,47
1138,49,50
1208,43,56
1183,45,54
1140,48,51
1138,49,50
1135,49,50
1094,52,47
1274,38,61
1356,32,67
1018,58,41
881,68,31
1313,35,64
1466,24,75
1072,53,46
884,68,31
1141,48,51
1377,30,69
1245,40,59
1047,55,44
1029,57,42
1092,52,47
1177,46,53
1206,43,56
1183,45,54
1137,48,51
1123,50,49
1162,47,52
1204,43,56
1162,47,52
1158,47,52
1141,48,51
1160,47,52
1143,48,51
1140,48,51
1115,50,49
1075,53,46
1068,54,45
1092,52,47
1114,50,49
1171,46,53
1135,49,50
1174,46,53
1208,43,56
1215,43,56
1185,45,54
1113,50,49
1115,50,49
1124,49,50
1184,45,54
1182,45,54
1121,50,49
1122,50,49
1159,47,52
1164,46,53
1092,52,47
1067,54,45
1138,48,51
1200,44,55
1207,43,56
