actual_data,left_motor_powers,right_motor_powers
978,49,50
999,48,51
997,49,50
999,48,51
986,49,50
972,49,50
999,48,51
1023,48,51
1015,48,51
1002,48,51
999,48,51
1045,47,52
1020,48,51
1023,48,51
1022,48,51
1040,48,51
1001,48,51
885,51,48
926,50,49
970,49,50
996,48,51
1002,48,51
957,49,50
953,49,50
930,50,49
966,49,50
1018,48,51
1044,47,52
1048,47,52
1018,48,51
1020,48,51
997,48,51
1003,48,51
999,48,51
954,49,50
1011,48,51
1068,47,52
1076,47,52
1094,46,53
1044,48,51
1001,48,51
1020,48,51
1021,48,51
997,48,51
972,49,50
973,49,50
997,48,51
1067,47,52
1094,46,53
1067,47,52
1071,47,52
1071,47,52
1043,47,52
1067,47,52
1001,48,51
1046,47,52
1020,48,51
996,48,51
1017,48,51
1045,47,52
1021,48,51
999,48,51
1012,48,51
1024,48,51
983,49,50
974,49,50
923,50,49
926,50,49
944,49,50
994,48,51
1033,47,52
1024,48,51
996,48,51
1000,48,51
1043,47,52
1045,47,52
1069,47,52
1048,47,52
1053,47,52
1048,47,52
1048,47,52
1043,47,52
1017,48,51
976,49,50
927,50,49
959,49,50
978,48,51
995,48,51
1068,47,52
1092,46,53
1141,45,54
1028,48,51
1018,48,51
1037,47,52
1070,47,52
1090,46,53
1094,46,53
1078,46,53
1044,47,52
984,48,51
977,48,51
935,49,50
950,49,50
974,48,51
1018,48,51
1042,47,52
1042,47,52
1075,46,53
1114,46,53
1090,46,53
1067,47,52
1090,46,53
1072,46,53
1084,46,53
1046,47,52
1022,47,52
1008,48,51
959,49,50
907,50,49
935,49,50
952,49,50
998,48,51
1019,47,52
1116,45,54
1142,45,54
1112,46,53
1073,46,53
1002,48,51
991,48,51
1017,47,52
1029,47,52
1044,47,52
1042,47,52
1019,47,52
973,48,51
926,49,50
904,50,49
905,50,49
946,49,50
953,49,50
950,49,50
953,49,50
972,48,51
1001,48,51
1029,47,52
1021,47,52
976,48,51
957,49,50
951,49,50
1063,46,53
