actual_data,error,left_motor_powers,right_motor_powers
978,-29,49,50
999,-50,48,51
997,-48,49,50
999,-50,48,51
986,-37,49,50
972,-23,49,50
999,-50,48,51
1023,-74,48,51
1015,-66,48,51
1002,-53,48,51
999,-50,48,51
1045,-96,47,52
1020,-71,48,51
1023,-74,48,51
1022,-73,48,51
1040,-91,48,51
1001,-52,48,51
885,64,51,48
926,23,50,49
970,-21,49,50
996,-47,48,51
1002,-53,48,51
957,-8,49,50
953,-4,49,50
930,19,50,49
966,-17,49,50
1018,-69,48,51
1044,-95,47,52
1048,-99,47,52
1018,-69,48,51
1020,-71,48,51
997,-48,48,51
1003,-54,48,51
999,-50,48,51
954,-5,49,50
1011,-62,48,51
1068,-119,47,52
1076,-127,47,52
1094,-145,46,53
1044,-95,48,51
1001,-52,48,51
1020,-71,48,51
1021,-72,48,51
997,-48,48,51
972,-23,49,50
973,-24,49,50
997,-48,48,51
1067,-118,47,52
1094,-145,46,53
1067,-118,47,52
1071,-122,47,52
1071,-122,47,52
1043,-94,47,52
1067,-118,47,52
1001,-52,48,51
1046,-97,47,52
1020,-71,48,51
996,-47,48,51
1017,-68,48,51
1045,-96,47,52
1021,-72,48,51
999,-50,48,51
1012,-63,48,51
1024,-75,48,51
983,-34,49,50
974,-25,49,50
923,26,50,49
926,23,50,49
944,5,49,50
994,-45,48,51
1033,-84,47,52
1024,-75,48,51
996,-47,48,51
1000,-51,48,51
1043,-94,47,52
1045,-96,47,52
1069,-120,47,52
1048,-99,47,52
1053,-104,47,52
1048,-99,47,52
1048,-99,47,52
1043,-94,47,52
1017,-68,48,51
976,-27,49,50
927,22,50,49
959,-10,49,50
978,-29,48,51
995,-46,48,51
1068,-119,47,52
1092,-143,46,53
1141,-192,45,54
1028,-79,48,51
1018,-69,48,51
1037,-88,47,52
1070,-121,47,52
1090,-141,46,53
1094,-145,46,53
1078,-129,46,53
1044,-95,47,52
984,-35,48,51
977,-28,48,51
935,14,49,50
950,-1,49,50
974,-25,48,51
1018,-69,48,51
1042,-93,47,52
1042,-93,47,52
1075,-126,46,53
1114,-165,46,53
1090,-141,46,53
1067,-118,47,52
1090,-141,46,53
1072,-123,46,53
1084,-135,46,53
1046,-97,47,52
1022,-73,47,52
1008,-59,48,51
959,-10,49,50
907,42,50,49
935,14,49,50
952,-3,49,50
998,-49,48,51
1019,-70,47,52
1116,-167,45,54
1142,-193,45,54
1112,-163,46,53
1073,-124,46,53
1002,-53,48,51
991,-42,48,51
1017,-68,47,52
1029,-80,47,52
1044,-95,47,52
1042,-93,47,52
1019,-70,47,52
973,-24,48,51
926,23,49,50
904,45,50,49
905,44,50,49
946,3,49,50
953,-4,49,50
950,-1,49,50
953,-4,49,50
972,-23,48,51
1001,-52,48,51
1029,-80,47,52
1021,-72,47,52
976,-27,48,51
957,-8,49,50
951,-2,49,50
1063,-114,46,53
